,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity
0,Coco Bistro,ChIJW1hRysFB0i0RKCnR-o_RH48,-8.7041864,115.2641343,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","Banjar Semawang, Jl. Duyung, Sanur, Kota Denpasar"
1,Canang Kitchen N Bar,ChIJaVz-hsBB0i0RFtVZrOOJ_kI,-8.70486,115.26059,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jl. Danau Tamblingan No.212, Sanur, Kota Denpasar"
2,The Sandwich Bar Sanur,ChIJ1xx4riFB0i0R0PAd2nGREmQ,-8.7030377,115.2611034,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jl. Danau Tamblingan No.188, Sanur, Kota Denpasar"
3,Naga Eight Restaurant,ChIJGS89yoBB0i0RnCc0rGBIy4g,-8.699812,115.2625061,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jl. Danau Tamblingan No.89, Sanur, Kota Denpasar"
4,Mermaid Bay Restaurant,ChIJrZ-Ay8FB0i0R4U3pvPXLqsU,-8.7063886,115.2631684,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","77V7+C7V, Jalan Setapak, Sanur, Kota Denpasar"
5,Graze All Day Dining,ChIJsYg2LMZB0i0RHohK83s0rOA,-8.6976847,115.2633512,4.6,"['restaurant', 'bakery', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']","Jl. Danau Tamblingan No.89M, Sanur, Kota Denpasar"
6,Cafe Jepun,ChIJr0fvfcBB0i0R6VqYxfMvrCc,-8.705044899999999,115.2604744,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jl. Danau Tamblingan No.212, Semawang, Sanur, Kota Denpasar"
7,Riviera Restaurant and Bar - Sanur,ChIJ2xa5D_BB0i0RSzU9fFnpFhQ,-8.707050299999999,115.2588046,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jl. Cemara No.29, Sanur, Kota Denpasar"
8,Bandjar Restaurant,ChIJrwIJb8BB0i0RyIgjvaTBu2c,-8.7056797,115.2606349,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jl. Kusuma Sari No.4, Sanur, Kota Denpasar"
9,Mezzanine Bar & Restaurant,ChIJexHj8r9B0i0R70IHuUIMMbc,-8.707840299999999,115.2577674,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jl. Cemara No.35, Sanur, Kota Denpasar"
10,Warung Anna,ChIJ49eftEo_0i0Rq3Ce1PzHuXo,-8.702506999999999,115.2612762,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jl. Karang Sari No.2, Sanur, Kota Denpasar"
11,Tropical Restaurant,ChIJJyOI7b9B0i0RG8_Uf8d1zus,-8.707590699999999,115.257789,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","77R5+X47, Jl. Cemara, Sanur, Kota Denpasar"
12,Donalds Bar and Restaurant,ChIJ7fxq679B0i0RFPtHze_rIi8,-8.7075934,115.256928,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jl. Cemara No.62, Sanur, Kota Denpasar"
13,Fattuesday Restaurant,ChIJLUJqhshB0i0R3LvgxG58ufw,-8.6979557,115.2632698,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jl. Danau Tamblingan No.89, Sanur, Kota Denpasar"
14,Warung Kecil,ChIJ61Q5z8BB0i0Rl0LVIvGuCc8,-8.7029858,115.2619171,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jl. Duyung No.1, Sanur, Kota Denpasar"
15,Massimo Italian Restaurant,ChIJpRptScdB0i0RqUFK0Ia5KW0,-8.7046677,115.2606188,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jl. Danau Tamblingan No.228, Sanur, Kota Denpasar"
16,LBV Bistro & Bar,ChIJaUx9KsZB0i0RRAm-OFDlJW4,-8.697285899999999,115.2632044,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jl. Danau Tamblingan No.156, Sanur, Kota Denpasar"
17,Warung Sciuè Sciuè (Italian food ),ChIJ6Tonzb1B0i0RbN4M6XQp2N8,-8.7054832,115.2531052,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jl. Danau Poso No.59, Sanur Kauh, Kota Denpasar"
18,Fisherman's Club,ChIJmYlCLoBB0i0Rnx1Dq_5443A,-8.699870299999999,115.265371,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jl. Danau Tamblingan No.89a, Sanur, Kota Denpasar"
19,Rose Restaurant,ChIJW7Ma-L9B0i0RXKl5RcQ_YfA,-8.7069866,115.2600043,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","77V6+622, Jl. Cemara, Sanur, Kota Denpasar"
20,Juicy and Crispy,ChIJzfCqA7xB0i0RDMaOJImiFTM,-8.7045304,115.2542398,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","Jl. Tirtanadi I No.5, Sanur Kauh, Kota Denpasar"
